country,year,item,r,n,survey,cc_rank,y_claassen
Mexico,2002,impdemoc_pew,3,246.9800198,pew2002,313,NA
Mexico,2002,impdemoc_pew,4,664.8542459,pew2002,313,NA
Mexico,2002,strong_pew,1,274.468617,pew2002,313,NA
Mexico,2002,strong_pew,2,720.4235212,pew2002,313,NA
Mexico,2002,threestate_lb,1,281.3579761,lb2002,313,NA
Mexico,2002,threestate_lb,2,165.497403,lb2002,313,NA
Mexico,2002,threestate_lb,3,767.0797114,lb2002,313,NA
Mexico,2003,church_cses,1,225.3642036,cses_combo,313,NA
Mexico,2003,church_cses,2,357.5040092,cses_combo,313,NA
Mexico,2003,church_cses,3,1069.26761,cses_combo,313,NA
Mexico,2003,church_cses,4,338.8767098,cses_combo,313,NA
Mexico,2003,church_lb,1,97.95104065,lb2003,313,NA
Mexico,2003,church_lb,2,247.3744056,lb2003,313,NA
Mexico,2003,church_lb,3,664.4211406,lb2003,313,NA
Mexico,2003,church_lb,4,190.2649842,lb2003,313,NA
Mexico,2003,threestate_lb,1,201.8544358,lb2003,313,NA
Mexico,2003,threestate_lb,2,358.508491,lb2003,313,NA
Mexico,2003,threestate_lb,3,639.6486442,lb2003,313,NA
Mexico,2004,church_amb,1,48.99972038,amb_combo,313,NA
Mexico,2004,church_amb,2,50.99970897,amb_combo,313,NA
Mexico,2004,church_amb,3,112.9993552,amb_combo,313,NA
Mexico,2004,church_amb,4,218.9987503,amb_combo,313,NA
Mexico,2004,church_amb,5,304.9982595,amb_combo,313,NA
Mexico,2004,church_amb,6,364.9979171,amb_combo,313,NA
Mexico,2004,church_amb,7,348.9980084,amb_combo,313,NA
Mexico,2004,church_lb,1,79.46793834,lb2004,313,NA
Mexico,2004,church_lb,2,173.628263,lb2004,313,NA
Mexico,2004,church_lb,3,697.3867762,lb2004,313,NA
Mexico,2004,church_lb,4,244.6717139,lb2004,313,NA
Mexico,2004,strong_amb_2,1,248.9985791,amb_combo,313,NA
Mexico,2004,strong_amb_2,2,1220.993032,amb_combo,313,NA
Mexico,2004,threestate_amb,1,150.9991383,amb_combo,313,NA
Mexico,2004,threestate_amb,2,215.9987674,amb_combo,313,NA
Mexico,2004,threestate_amb,3,1056.993968,amb_combo,313,NA
Mexico,2004,threestate_lb,1,231.3430428,lb2004,313,NA
Mexico,2004,threestate_lb,2,315.1716136,lb2004,313,NA
Mexico,2004,threestate_lb,3,648.640035,lb2004,313,NA
Mexico,2005,army_wvs,1,192.1593149,wvs_combo,313,NA
Mexico,2005,army_wvs,2,513.4256696,wvs_combo,313,NA
Mexico,2005,army_wvs,3,653.5418367,wvs_combo,313,NA
Mexico,2005,army_wvs,4,200.1659531,wvs_combo,313,NA
Mexico,2005,church_lb,1,66.18302407,lb2005,313,NA
Mexico,2005,church_lb,2,234.2392657,lb2005,313,NA
Mexico,2005,church_lb,3,702.7460675,lb2005,313,NA
Mexico,2005,church_lb,4,197.3054067,lb2005,313,NA
